url	x_frame_options	content_security_policy
academia.edu	SAMEORIGIN	
accounts.google.com	SAMEORIGIN, DENY	frame-ancestors 'self', script-src 'nonce-W/ELgYyfLfyGxQuAYZ/1sQ' 'unsafe-inline' 'unsafe-eval';object-src 'none';base-uri 'self';report-uri /cspreport, script-src 'nonce-8NYURC4WKIbW7xMret7msw' 'unsafe-inline' 'unsafe-eval';object-src 'none';base-uri 'self';report-uri /cspreport
adobe.com	SAMEORIGIN	
adweek.com		
amazon.ca		
amazon.co.jp		
amazon.de	SAMEORIGIN	
answers.com	SAMEORIGIN	
bbc.com		
blog.fc2.com		
booking.com		report-uri https://reports.booking.com/csp_violation?type=report&tag=112&pid=ca799d493c370138&e=UmFuZG9tSVYkc2RlIyh9YVVBzJ38_nCx12ImVfi9-ylq6MbamNqpIg&f=0&s=0; frame-ancestors 'none';, report-uri https://reports.booking.com/csp_violation?type=report&tag=112&pid=b6099d499cc4005d&e=UmFuZG9tSVYkc2RlIyh9YdPFJGDFjZSqK4Z-4dNTMVuBu77w9s3Zhe9JJsY9VaQ8GOKn8SEIBj8&f=0&s=0; frame-ancestors 'none';
books.google.com	SAMEORIGIN	
bp.blogspot.com		
bp3.blogger.com		
brandbucket.com		
britannica.com		
ca.gov		
calameo.com	SAMEORIGIN	
cambridge.org	SAMEORIGIN	
cloudflare.com	SAMEORIGIN	
de.wikipedia.org		
deezer.com	SAMEORIGIN	upgrade-insecure-requests ; report-uri /csp-report, block-all-mixed-content ; report-uri /csp-report
dropbox.com	DENY	sandbox, base-uri 'self' ; child-src https://www.dropbox.com/static/serviceworker/ blob: ; connect-src https://* ws://127.0.0.1:*/ws ; default-src 'none' ; font-src https://* data: ; form-action 'self' https://www.dropbox.com/ https://dl-web.dropbox.com/ https://photos.dropbox.com/ https://paper.dropbox.com/ https://showcase.dropbox.com/ https://www.hellofax.com/ https://app.hellofax.com/ https://www.hellosign.com/ https://app.hellosign.com/ https://help.dropbox.com/ https://navi.dropbox.jp/ https://selfguidedlearning.dropboxbusiness.com/ https://instructorledlearning.dropboxbusiness.com/ https://sales.dropboxbusiness.com/ https://dropboxconnect.co.uk/ https://accounts.google.com/ https://api.login.yahoo.com/ https://login.yahoo.com/ https://experience.dropbox.com/ https://pal-test.adyen.com https://2e83413d8036243b-Dropbox-pal-live.adyenpayments.com/ ; frame-src https://* carousel: dbapi-6: dbapi-7: dbapi-8: dropbox-client: itms-apps: itms-appss: ; img-src https://* data: blob: ; media-src https://* blob: ; object-src 'self' https://cfl.dropboxstatic.com/static/ https://www.dropboxstatic.com/static/ ; report-uri https://www.dropbox.com/csp_log?policy_name=metaserver-whitelist ; script-src 'unsafe-eval' https://www.dropbox.com/static/api/ https://www.dropbox.com/page_success/ https://cfl.dropboxstatic.com/static/js/ https://www.dropboxstatic.com/static/js/ https://cfl.dropboxstatic.com/static/src/dws-ensemble-appshell/ https://www.dropboxstatic.com/static/src/dws-ensemble-appshell/ https://cfl.dropboxstatic.com/static/previews/ https://www.dropboxstatic.com/static/previews/ https://cfl.dropboxstatic.com/static/api/ https://www.dropboxstatic.com/static/api/ https://cfl.dropboxstatic.com/static/cms/ https://www.dropboxstatic.com/static/cms/ https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/ 'unsafe-inline' ; style-src https://* 'unsafe-inline' 'unsafe-eval' ; worker-src https://www.dropbox.com/static/serviceworker/ blob:
ebay.com	SAMEORIGIN	
ed.gov	SAMEORIGIN	frame-ancestors 'self';
en.wikipedia.org		
europa.eu		
fandom.com	SAMEORIGIN	upgrade-insecure-requests, default-src https: 'self' data: blob:; script-src https: 'self' data: 'unsafe-inline' 'unsafe-eval' blob:; style-src https: 'self' 'unsafe-inline' blob:; report-uri https://services.fandom.com/csp-logger/csp/f2
fb.me	DENY	
finance.yahoo.com	SAMEORIGIN	frame-ancestors 'self' https://*.techcrunch.com https://*.yahoo.com https://*.aol.com https://*.huffingtonpost.com https://*.oath.com https://*.search.yahoo.com https://*.search.aol.com https://*.search.huffpost.com https://*.verizonmedia.com https://*.publishing.oath.com https://*.autoblog.com; sandbox allow-forms allow-same-origin allow-scripts allow-popups allow-popups-to-escape-sandbox allow-presentation; report-uri https://csp.yahoo.com/beacon/csp?src=ats&site=finance&region=US&lang=en-US&device=desktop&yrid=3oqer8hg3o5v0&partner=;, sandbox allow-downloads allow-forms allow-modals allow-same-origin allow-scripts allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation allow-presentation; report-uri https://csp.yahoo.com/beacon/csp?src=yahoofinance; report-to csp-endpoint;
forbes.com	SAMEORIGIN	upgrade-insecure-requests
foxnews.com		
get.google.com	SAMEORIGIN	
ggpht.com		
godaddy.com		
gofundme.com		frame-ancestors gofundme.com *.gofundme.com;
goo.gl	SAMEORIGIN	script-src 'nonce-zcsTEuKSVer+4IQbeCWH7Q' 'unsafe-inline';object-src 'none';base-uri 'self';report-uri /_/DurableDeepLinkUi/cspreport;worker-src 'self'
google.co.in	SAMEORIGIN	
google.de	SAMEORIGIN	
google.es	SAMEORIGIN	
google.nl	SAMEORIGIN	
